PID,LotArea,LotShape,BldgTp,OverallQuality,OverallCondition,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,AbvGrndLiving,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,GarageArea,WdDckSqft,OpenPrchSqft
528445060,8987,1,1,8,5,2005,2006,226,0,0,1595,3,1595,0,1595,0,0,2,2,6,1,3,3,880,144,0
528456160,9215,1,1,7,5,2009,2010,0,0,0,1218,3,1218,0,1218,0,0,2,2,4,0,3,2,676,0,136
528458070,8640,1,1,7,5,2009,2009,0,1,24,732,3,764,783,1547,0,1,2,3,7,0,3,2,614,169,45
906380190,6762,1,1,7,5,2006,2006,24,1,686,501,3,1208,0,1208,1,0,2,2,6,0,3,2,632,105,61
906385010,10402,0,1,7,5,2009,2009,0,0,0,1226,3,1226,0,1226,0,0,2,3,6,0,3,3,740,0,36
906385020,7360,1,1,7,5,2010,2010,80,1,24,1198,3,1222,0,1222,0,0,2,2,6,0,3,2,615,0,54
528235010,7795,0,1,7,5,2004,2005,0,1,425,291,3,716,716,1432,1,1,2,,6,1,3,2,432,100,51
528235090,8068,0,1,6,5,2002,2002,0,0,0,1010,3,1010,1257,2267,0,1,2,4,8,1,2,2,390,120,46
528240150,10125,0,1,7,5,2004,2004,0,0,0,846,3,846,748,1594,0,1,20,3,7,1,3,2,434,300,48
528250020,8965,0,1,7,5,2003,2003,0,1,652,130,3,806,683,1489,1,1,2,3,8,1,3,2,400,0,75
528456220,9000,1,1,8,5,2008,2008,0,0,0,768,3,786,804,1590,0,1,2,3,6,0,3,2,676,0,30
528456240,7862,0,1,6,5,2009,2009,0,1,27,1191,3,1218,0,1218,0,0,2,2,4,0,3,2,676,0,102
528458020,7993,0,1,7,5,2008,2009,0,0,0,1436,3,1436,0,1436,0,0,2,3,,0,3,2,529,0,121
528458040,8640,1,1,8,5,2009,2009,72,1,936,364,3,1314,0,1314,1,0,2,3,,0,3,2,552,135,112
528458060,8640,1,1,7,5,2008,2008,0,0,0,1402,3,1402,0,1402,0,0,2,3,7,0,3,2,625,205,126
528488100,7500,1,1,7,5,2004,2005,0,1,410,811,3,1221,0,1221,1,0,2,2,6,0,3,2,400,0,113
528490040,8736,0,1,7,5,2003,2004,0,1,771,422,3,1553,0,1553,1,0,2,3,6,0,3,2,588,192,88
528490070,8127,0,1,7,5,2003,2003,0,1,410,402,3,812,841,1653,1,1,2,3,6,0,3,2,628,0,45
534127130,11717,0,1,6,6,1970,1970,571,0,0,1442,1,1442,0,1442,0,0,2,2,6,1,3,2,615,371,0
534127170,9156,0,1,6,7,1968,1968,0,0,0,1489,2,1489,0,1489,0,0,2,3,7,1,3,2,462,0,0
534128010,10382,0,1,7,6,1973,1973,240,1,859,216,3,,983,2090,1,1,2,3,7,2,3,2,484,235,204
534128020,12732,0,1,7,6,1974,1974,0,1,560,150,1,1285,782,2067,0,1,2,3,7,2,3,2,784,297,40
907175100,10400,1,1,7,5,1998,1998,0,0,0,866,3,866,913,1779,0,1,2,3,6,0,3,2,546,198,36
907180130,10335,0,1,7,5,1999,1999,183,1,679,811,3,1501,3041,1501,1,0,2,3,6,0,3,2,577,144,29
907181100,9017,0,1,7,5,1999,1999,0,1,560,871,3,1431,0,1431,1,0,2,3,6,0,3,2,666,0,35
907185050,8750,1,1,6,5,1998,1998,120,1,606,322,3,928,844,1772,1,1,2,3,7,1,3,2,492,150,96
907192030,8935,0,1,7,5,2002,2002,95,0,0,831,3,831,829,1660,0,1,2,,7,0,3,2,493,144,68
907192090,9808,0,1,7,5,2002,2002,110,1,788,785,3,1573,0,1573,1,0,2,3,6,0,3,2,544,0,72
907280170,8750,1,1,7,5,1997,1998,209,1,1111,306,3,1417,0,1417,1,0,20,3,7,1,3,2,511,60,0
907285020,9375,1,1,7,5,1997,1998,573,1,739,318,3,1057,977,2034,1,1,2,3,8,0,3,2,645,576,36
907285050,8750,1,1,7,5,1996,1996,,0,0,880,3,909,807,1716,0,1,2,2,7,1,3,2,512,0,120
527163100,8000,1,1,6,5,1995,1996,,1,219,554,2,773,885,1658,1,1,2,3,8,1,3,2,431,224,84
