,time,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cambodia,Canada,Chile,Colombia,Croatia,Czech Republic,Denmark,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Macao,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Norway,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam,transportation_type
0,13/1/2020,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,driving
1,14/1/2020,95.3,97.07,102.98,101.14,101.19,99.71,102.56,100.75,102.91,99.01,97.85,102.23,101.17,103.67,98.78,106.93,102.42,101.6,101.31,100.63,106.79,100.89,107.33,102.35,100.95,113.54,102.65,102.63,97.94,100.86,98.15,98.06,110.99,98.11,100.53,99.8,103.22,102.94,98.43,100.24,101.09,98.87,98.53,98.15,101.13,99.96,92.27,101.95,101.89,100.53,103.33,101.06,100.72,102.35,106.97,100.25,103.22,104.63,102.23,104.86,102.97,96.84,104.96,driving
2,15/1/2020,101.43,102.45,104.21,104.24,107.49,100.9,104.73,99.33,99.74,102.57,99.65,102.77,106.68,105.55,104.14,106.41,105.41,104.67,102.82,100.57,111.3,103.13,113,107.96,103.17,113.02,102.91,105.41,99.14,103.78,102.22,95.12,115.14,103.36,102.35,101.5,103.86,105.58,102.34,103.21,103.79,98.6,101.94,98.69,102,97.57,100.9,103.48,100.42,102.17,102.27,103.08,103.7,108.16,113.81,106.9,106.28,110.48,99.74,106.4,105.19,92.9,108.67,driving
3,16/1/2020,97.2,111.21,108.63,112.21,107.67,101.88,104.35,96,105.17,106.47,97.22,98.19,109.34,104.16,113.6,115.22,104.46,107.25,104.61,100.6,116,106.74,114.84,110.77,103.49,123.29,112.6,106.18,103.16,106.99,107.33,103.03,118.61,111.32,106.06,108.9,103.99,115.94,105.02,103.05,108.02,101.02,108.13,99.2,103.86,100.88,97.59,112.19,100.04,102.85,101.82,107.43,107.45,106.47,118.64,106.81,109.51,106.39,110.59,104.28,108.48,103.48,107.09,driving
4,17/1/2020,103.55,118.45,109.08,117.23,117.38,113.69,114.79,98.78,122.34,124.69,109.1,108.51,123.54,110.4,92.9,132.85,117.78,112.07,114.38,110.76,138.02,119.57,135.74,120.64,127.22,127.76,85.85,114.69,123.15,117.63,120.05,100.71,157.14,137.04,127.97,121.4,104.6,107.02,122.49,118.16,122.96,116.97,122.17,107.51,111.2,98.07,106.79,124.68,109.34,111.81,106.8,124.86,111.72,119.06,136.4,141.87,139.77,111.8,116.91,109.27,125.51,114.91,121.07,driving
5,18/1/2020,112.67,124.01,89,117.22,119.32,114.38,118.01,103.64,102.5,120.83,120.38,108.06,112.54,105.47,100.18,128.75,120.16,114.84,109.65,113.18,129.52,111.98,135.06,136.84,135.77,130.2,90.93,127.45,130.54,117.49,112.07,87.19,153.88,130.98,134.25,143.32,98.09,97.92,113.46,106.21,110.25,124.07,113.73,98.25,107.34,83.17,108.43,107.62,98.69,103.15,89.31,123.89,119.02,112.18,135.78,143.83,144.21,95.55,106.6,108.3,115.04,115.03,130.4,driving
6,19/1/2020,104.83,95.44,99.35,105.17,102.68,91.06,105.42,99.16,84.46,97.12,103.25,105.89,105.38,103.52,99.76,107.61,112.58,93.4,103.81,106.76,116.02,100.08,108.76,122.4,109.68,116.27,96.24,110.65,104.44,103.15,96.12,75.75,139.85,109.69,93.02,131.57,91.46,101.9,114.54,102.14,97.99,107.25,110.31,93.67,102.74,74.13,95.39,100.58,94.91,97.65,84.96,101.5,118.63,107.38,120.37,118.67,126.23,94.31,97.66,94.3,90.91,99.48,123.99,driving
7,20/1/2020,94.39,95.13,103.53,100.7,103.67,97.54,100.78,97.65,102.63,102.53,95.63,95.73,99.26,102.37,99.72,101.66,100.97,94.67,100.54,96.02,118.3,99.79,106.44,106.83,103.62,115.13,95.49,102.59,100.01,102.24,99.92,96.94,155.84,103.57,99.86,125.79,101.94,103.19,98.58,96.36,102.17,99.11,108.45,96.71,102.88,74.99,90.05,104.77,95.38,104.15,101.47,101.95,103.59,103.55,121.19,100.95,113.38,102.26,98.69,103.22,102.57,93.3,122.77,driving
8,21/1/2020,94.07,95.42,106.8,102.67,107.83,98.14,99.44,96.87,104.31,101.57,93.95,97.04,101.99,104.12,103.72,107.16,103.11,94.52,102.9,95.5,114.27,99.22,109.04,101.75,101.54,116.94,100.28,103.94,99.73,102.12,101.45,96.91,144.2,107.76,98.24,130.38,107.74,106.85,98.9,99.39,101.87,100.59,105.33,95.43,105.62,76.08,93.26,104.16,99.44,101.68,105.95,102.93,105.71,105.97,123.02,97.65,115.78,107.91,97.72,107.88,103.07,90.33,120.96,driving
9,22/1/2020,93.51,97.66,107.4,104.33,110,97.91,103.52,95.13,107.37,102.41,95.37,97.93,107.94,107.02,108.55,104.49,103.27,97.84,102.65,98.73,108.7,101.49,104.02,103.08,106.06,119.09,99.96,106.67,99.02,103.22,103.11,95.07,108.73,123.77,98.54,135.43,105.82,109.24,102.31,98.52,103.91,100.62,112.78,95.58,106.04,78.25,90.87,103.24,101.42,103.34,104.83,106.88,108.07,109.5,124.95,98.01,121.64,108.29,101.27,108.79,103.01,91.99,103.91,driving
