PID,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,AbvGrndLiving,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,GarageArea,WdDckSqft,OpenPrchSqft,SalePrice
0526301100,1960,1960,112,1,639,441,0,1656,0,1656,1,0,1,3,7,2,3,2,528,210,62,215000
0526350040,1961,1961,0,1,468,270,1,896,0,896,0,0,1,2,5,0,3,1,730,140,0,105000
0526351010,1958,1958,108,1,923,406,1,1329,0,1329,0,1,1,3,6,0,3,1,312,393,36,172000
0526353030,1968,1968,0,1,1065,1045,3,2110,0,2110,1,1,2,3,8,2,3,2,522,0,0,244000
0527105010,1997,1998,0,1,791,137,2,928,701,1629,0,1,2,3,6,1,3,2,482,212,34,189900
0527105030,1998,1998,20,1,602,324,3,926,678,1604,0,1,2,3,7,1,3,2,470,360,36,195500
0527127150,2001,2001,0,1,616,722,3,1338,0,1338,1,0,2,2,6,0,3,2,582,0,0,213500
0527145080,1992,1992,0,1,263,1017,3,1280,0,1280,0,0,2,2,5,0,3,2,506,0,82,191500
0527146030,1995,1996,0,1,1180,415,3,1616,0,1616,1,0,2,2,5,1,3,2,608,237,152,236500
0527162130,1999,1999,0,0,0,994,2,1028,776,1804,0,1,2,3,7,1,3,2,442,140,60,189000
0527163010,1993,1994,0,0,0,763,2,763,892,1655,0,1,2,3,7,1,3,2,440,157,84,175900
0527165230,1992,2007,0,1,935,233,3,1187,0,1187,1,0,2,3,6,0,3,2,420,483,21,185000
0527166040,1998,1998,0,0,0,789,2,789,676,1465,0,1,2,3,7,1,3,2,393,0,75,180400
0527180040,1990,1990,0,1,637,663,2,1341,0,1341,1,1,1,2,5,1,3,2,506,192,0,171500
0527182190,1985,1985,0,1,368,0,1,1502,0,1502,1,1,1,1,4,0,3,2,528,0,54,212000
0527258010,2010,2010,350,1,1445,411,3,1856,0,1856,1,1,1,1,8,1,3,3,834,113,0,394432
0527276150,1951,1951,0,1,120,744,3,864,0,864,0,0,1,2,4,0,1,2,400,0,0,141000
0527302110,1978,1988,119,1,790,589,1,2073,0,2073,1,0,2,3,7,2,3,2,500,349,0,210000
0527358140,1977,1977,480,1,705,1139,3,1844,0,1844,0,0,2,3,7,1,3,2,546,0,122,190000
0527358200,1974,1974,81,1,885,0,1,1173,0,1173,1,0,2,3,6,2,3,2,528,0,120,170000
0527368020,2000,2000,0,1,533,281,3,814,860,1674,1,1,2,3,7,0,3,2,663,0,96,216000
0527402200,1970,1970,180,1,578,426,3,1004,0,1004,1,0,1,2,5,1,3,2,480,0,0,149000
0527402250,1971,2008,0,1,734,344,3,1078,0,1078,1,1,1,3,6,1,3,2,500,0,0,149900
0527403020,1968,1968,0,1,775,281,3,1056,0,1056,1,0,1,3,6,1,3,1,304,0,85,142000
0527404120,1970,1970,0,1,804,0,1,882,0,882,1,0,1,2,4,0,3,2,525,240,0,126000
0527425090,1971,1971,0,1,432,432,1,864,0,864,0,0,1,3,5,1,0,0,0,0,0,115000
0527427230,1999,1999,0,1,1051,354,3,1337,0,1337,1,0,2,2,5,1,3,2,511,203,68,184000
0527451180,1971,1971,504,1,156,327,1,483,504,987,0,1,1,2,5,0,1,1,264,275,0,96000
0527451330,1971,1971,492,1,300,225,1,525,567,1092,0,1,1,3,6,0,1,1,320,0,0,105500
0527451410,1971,1971,381,0,0,525,1,525,567,1092,0,1,1,3,6,0,1,1,264,0,0,88000
0527452190,1977,1977,0,1,360,709,1,1069,0,1069,0,0,2,2,4,1,3,2,440,0,55,127500
0527453130,1975,1975,0,1,514,341,1,855,601,1456,0,1,2,3,6,1,3,2,440,173,0,149900
0527453150,1975,1975,0,0,0,836,3,836,0,836,0,0,1,2,4,0,3,1,308,0,30,120000
0527454200,1978,1978,0,1,311,544,0,855,601,1456,0,1,2,3,7,1,3,2,440,26,0,146000
0528112020,2007,2008,200,1,1218,486,3,1704,0,1704,1,0,2,3,7,1,3,3,772,0,50,306000
0528120090,2009,2010,256,0,0,1544,3,1544,0,1544,0,0,2,3,7,0,3,3,868,0,35,290941
0528120100,2005,2005,226,1,1201,340,3,1541,0,1541,0,0,2,3,7,1,3,2,532,0,70,220000
0528120120,2005,2005,615,1,110,1588,3,1698,0,1698,0,0,2,3,7,1,3,3,730,192,74,275000
0528138020,2005,2006,240,1,28,1794,3,1822,0,1822,0,0,2,3,8,1,3,3,678,0,119,259000
0528138060,2004,2004,168,1,2,1515,3,1535,0,1535,0,0,2,3,7,0,3,2,532,0,0,214000
0528175010,2009,2010,128,1,733,625,3,1358,0,1358,1,0,2,2,6,1,3,2,484,192,35,224000
0528176070,2002,2002,232,1,578,1093,3,1687,563,2250,1,1,2,3,7,1,3,3,756,238,130,320000
0528181050,2006,2006,178,1,24,1346,3,1370,0,1370,0,0,2,2,6,1,3,2,484,120,49,205000
0528188120,2003,2003,106,0,0,764,3,764,862,1626,0,1,2,2,6,0,2,2,474,0,27,175500
0528218150,2005,2005,0,0,0,1324,3,1324,0,1324,0,0,2,3,6,0,3,2,430,36,23,199500
0528228285,2006,2006,14,1,16,1129,3,1145,0,1145,0,0,2,2,6,0,3,2,437,100,116,160000
0528228440,2004,2005,16,1,24,1232,3,1269,0,1269,0,0,2,2,6,1,3,2,430,146,20,192000
0528231020,2004,2004,0,1,326,58,3,744,630,1374,1,1,2,3,7,1,2,2,400,100,0,184500
0528240130,2004,2004,0,0,0,847,3,847,886,1733,0,1,2,3,7,1,2,2,433,144,48,185088
0528250100,2000,2000,0,1,250,134,3,774,656,1430,0,1,2,3,7,1,2,2,400,180,0,180000
0528292020,2001,2001,180,0,0,884,3,884,1151,2035,0,1,2,3,8,1,2,2,434,144,48,222500
0528328100,1999,1999,165,0,0,1393,3,1422,1177,2599,0,1,2,4,10,1,2,3,779,668,30,333168
0528344070,1998,1998,114,0,0,1629,3,1645,830,2475,0,1,2,4,7,1,3,3,962,23,172,355000
0528358010,1996,1996,338,1,919,801,3,1720,0,1720,1,0,2,3,7,1,3,2,527,240,56,260400
0528363130,1994,1995,362,1,1032,431,3,1500,1122,2622,1,1,2,3,9,2,3,2,712,186,32,325000
0528382020,1999,2007,348,1,524,628,3,1164,1106,2270,0,1,2,4,9,1,3,3,671,132,57,290000
0528382030,1998,1998,30,0,0,1195,2,1195,644,1839,0,1,2,4,7,0,3,2,486,0,81,221000
0528386040,1995,1996,579,1,816,1217,3,2053,1185,3238,1,1,2,4,9,1,3,3,666,283,86,410000
0528458110,2008,2008,36,1,1078,488,3,1566,0,1566,1,0,2,3,7,0,3,2,750,144,168,262500
0528477080,2004,2005,0,1,222,769,3,991,956,1947,0,1,2,3,8,1,3,2,678,0,136,254900
0528480090,2005,2005,0,1,1414,54,3,1468,0,1468,1,0,2,2,6,1,3,2,528,0,102,271500
0531367050,2004,2004,0,1,656,300,3,956,1128,2084,1,1,2,4,8,0,2,2,618,0,45,233000
0531369060,2004,2004,122,0,0,831,3,831,828,1659,0,1,2,3,8,0,3,2,484,144,68,181000
0531380080,1994,2002,0,1,695,253,3,1222,888,2110,1,1,2,3,8,2,3,2,463,0,130,205000
0531451110,1980,1980,0,1,543,261,1,923,0,923,0,0,2,2,5,1,3,1,264,80,0,143000
