PID,LotArea,LotShape,BldgTp
0526301100,31770,0,1
0526350040,11622,1,1
0526351010,14267,0,1
0526353030,11160,1,1
0527105010,13830,0,1
0527105030,9978,0,1
0527127150,4920,1,0
0527145080,5005,0,0
0527146030,5389,0,0
0527162130,7500,1,1
0527163010,10000,0,1
0527165230,7980,0,1
0527166040,8402,0,1
0527180040,10176,1,1
0527182190,6820,0,0
0527258010,11394,1,1
0527276150,19138,1,1
0527302110,13175,1,1
0527358140,11751,0,1
0527358200,10625,1,1
0527368020,7500,1,1
0527402200,11241,0,1
0527402250,12537,0,1
0527403020,8450,1,1
0527404120,8400,1,1
0527425090,10500,1,1
0527427230,5858,0,0
0527451180,1680,1,0
0527451330,1680,1,0
0527451410,1680,1,0
0527452190,4043,1,0
0527453130,2280,1,0
0527453150,2280,1,0
0527454200,2280,1,0
0528112020,11478,1,1
0528120090,12883,0,1
0528120100,12182,1,1
0528120120,11520,1,1
0528138020,14122,0,1
0528138060,10171,0,1
0528175010,6371,0,0
0528176070,13650,1,1
0528181050,7132,0,0
0528188120,2628,1,0
0528218150,18494,0,1
0528228285,3203,1,0
0528228440,3182,1,0
0528231020,13300,0,1
0528240130,8577,0,1
0528250100,7750,0,1
0528292020,9505,0,1
0528328100,14774,0,1
0528344070,17433,0,1
0528358010,10593,0,1
0528363130,12256,0,1
0528382020,11764,0,1
0528382030,16770,0,1
0528386040,14720,0,1
0528458110,9000,1,1
0528477080,12552,1,1
0528480090,10440,1,1
0531367050,10142,0,1
0531369060,11920,1,1
0531380080,8880,0,1
0531451110,8012,1,0
0531451280,11218,1,1
0531452020,7892,1,0
0531452050,7175,1,0
0531452180,9453,0,1
0531453010,9672,1,1
0531453040,8400,1,1
0531477050,9800,1,1
0532354090,11782,0,1
0532376160,8450,1,1
0532377060,9819,0,1
0532377100,7500,1,1
0532378110,6897,0,1
0532479070,15410,0,1
0533130020,10186,0,1
0533130130,13143,0,1
0533130160,11134,1,1
0533205060,4835,0,0
0533208090,3515,1,0
0533210060,3215,1,0
0533212010,3182,1,0
0533212020,2544,1,0
0533212060,2544,1,0
0533221090,2117,1,0
0533221110,2980,1,0
0533223020,2572,1,0
0533223100,2403,0,0
0533238045,12853,0,1
0533244030,7379,0,1
0533253060,4420,0,0
0533253210,3880,0,0
0533352170,13517,0,1
0534102025,8000,1,1
0534129040,10456,0,1
0534151175,10791,1,1
0534152050,10603,0,1
0534152100,10421,1,1
0534176060,9360,1,1
0534202160,9600,1,1
0534251320,9790,1,1
0534276360,9320,0,1
