"product_id","page","page_order","recommended","date","text","hours","compensation","user_id","username","products","found_funny","early_access"
"1006510","1","0","True","25 February","Chinese people didn't like it 'cuz this game practices the freedom of speech that mildly taunted the leader of China, Xi.\nBy the way in Taiwan we have full liberty in regards of politics and any other occasion of basic human right which the Chinese don't, they even ban ""steam game"" on their search engine. Which again beats American enterprise by government manipulated monopoly.","6.3","","76561198182038507","Schmitt","106","","False"
"1006510","1","1","False","25 February","I don't recommend this game. I don't care about political, but they should not hide those insult in the game. If they wanna insult any one, just say it. Try to earn money from the people you are trying to insult, this is truly disgusting.","0.9","","76561198343294717","cherryliji","1","2","False"
"1006510","1","2","True","25 February","Deep describing of native Taiwan culture of 1980's. The atomsphere in the game is fulled of myth , horror and sorrow.\nBroken family relationship resulted from Superstition is incredibly depicted.\nThis game is criticized by China gamer just due to make fun of Xi-JingPing. Regardless of this, this game is  awesome!!!","1.1","","76561198927684578","acmonkey233","1","","False"
"1006510","1","3","True","25 February","Well at the risk of this review getting buried during the review-bomb/controversy. I still have to say it... this game, ""Devotion,"" is ACTUALLY amazing.\nIf I can give a surface level description of this game, think of ""Layers of Fear"" and the pros and cons of that game; but with a more compelling and tragic story.  In the very least it has an actual ending. And the build up to that ending was... *sniffles*... lets just say after playing the game I had to get up from my computer to walk around, contemplating life and it's frailties.\nI enjoyed ""Layers of Fear"" so I can look past some of the cons in that one, like it being a 'walking sim.' However the only downside, for me personally, is that in the game you walk pretty slowly (there isn't a quicker pace/jog button).\nIt is also important to note that this game is 2 to 3 hours long, which is fine. The game was as long as it needed to be to tell its story.\nIf you have time to burn or it's near Halloween, I fully recommend  this walk into the depths of despair that is ""Devotion.""","2.9","","76561197971983340","Khorneflakes!","247","","False"
"1006510","1","4","True","25 February","It's not a political satire nor a boring propaganda. RedCandleGames merely want to tell us a story about a broken family.\nIn the end, you may find out the truth.\n---[Graphics]---\n☑ Beautiful old-fashioned apartment in Taiwan (travel recommend)\n☐ Good\n☐ Decent\n☐ Bad\n☐ Can't see anything\n---[Gameplay]---\n☐ Dynasty Warriors\n☑ Can't beat the phantom\n☐ Good\n☐ Normal\n☐ Bad\n---[Audio]---\n☐ Eargasm\n☑ Very good (OST recommend)\n☐ Good\n☐ Not too bad\n☐ Bad\n☐ Earrape\n---[Audience]---\n☐ Kids\n☐ Teens\n☑ Adults\n☐ Happy Tree Friends\n☐ Everyone\n---[Difficulity]---\n☐ Just press A\n☐ Easy\n☑ Escape Room (Not too hard)\n☐ Normal\n☐ Difficult\n☐ Dark Souls\n---[Game Time]---\n☐ Long enough for a cup of tea\n☑ Short (A horror film)\n☐ Average\n☐ Long\n☐ To infinity and beyond\n---[Price]---\n☐ Priceless\n☑ Worth the price\n☐ If u have some spare money left\n☐ Not recommended\n☐ You can just burn your money\n---[Bugs]---\n☐ Never heard of\n☑ Don't get one\n☐ Can get annoying\n☐ Assassin's Creed: Unity\n☐ Get a bug spray or a flamethrower\n---[Censorship]---\n☐ Never heard of\n☑ The almighty-heavenly country you-know-what banned this game\n☐ Europe\n☐ America\n☐ Africa\n☐ Asia\n☐ Antarctica\nOMG, This game suddenly no longer available in the store, too scary to sleep!","3.4","","","asadelight","846","","False"
"1006510","1","5","True","25 February","Great game from Taiwan!\nIt realistically shows old apartment and some tradition culture in Taiwan.\nMy friend even began to scare his apartment door after watching me playing this game.","4.5","","76561198375563504","s06706s06706","11","1","False"
"1006510","1","6","True","25 February","I've played Detention before and i was told to try this one out, have to say, it isn't scary, but its a beautiful story and it made me tear up by the end,  amazing art style and music.\nDefinitely will keep an eye on future releases from you guys.","4.4","","76561198348526871","Rhodger","175","","False"
"1006510","1","7","True","25 February","Nice game","2.2","","76561198282565277","donychopper","3","","False"
"1006510","1","8","True","25 February","definitely the scariest♥♥♥♥♥♥i've ever played","2.8","","76561198076920572","Mathe","120","","False"
"1006510","1","9","True","25 February","not as horror as i expected, but still a good game.\nIf the game can last longer, it would worth much more.","3.3","","76561198296657867","hflee1031","2","","False"
