id,gender,location,person,time,g_frontal,g_vertical,g_lateral,antenna,rssi,phase,freq,label
57106,2,2,3,321.75,0.34238,0.36516,-0.97154,2,-48.5,3.2214,920.25,3
22711,2,1,45,183.38,0.61207,0.87042,-0.0022806,2,-56,0.37276,920.25,2
61677,1,2,14,38,0.084423,0.42258,-1.0172,3,-63,5.9825,920.25,3
42785,2,1,52,141.85,0.54171,0.90487,0.043332,1,-64.5,3.9178,920.25,1
64396,1,2,15,68.25,0.31893,0.49148,-0.93733,3,-60,5.7018,920.25,3
29764,1,1,48,9.2,1.0459,0.02067,-0.15052,3,-56.5,4.6909,920.25,3
22708,2,1,45,183.25,0.61207,0.87042,-0.0022806,2,-56,0.37276,920.25,2
36361,2,1,50,317.4,1.0342,0.29627,-0.025087,4,-58.5,0.37276,920.25,3
32528,2,1,49,104.9,0.8583,0.29627,-0.11631,1,-55.5,5.0944,920.25,3
37498,2,1,50,365.95,1.0576,0.19292,-0.047893,4,-59,0.3973,920.25,3
45328,2,1,53,148.68,1.0694,0.089569,-0.10491,4,-62,5.013,920.25,3
34848,2,1,50,88.7,0.37756,0.96229,-0.15052,2,-54.5,5.4533,920.25,2
21042,2,1,45,10.7,0.45964,0.89339,0.16876,4,-55.5,0.91272,920.25,1
42926,1,1,52,173.5,1.1749,0.043636,-0.12771,3,-59.5,5.711,920.25,3
7270,1,1,30,40.75,0.54171,0.15847,0.90996,4,-56,4.3519,920.25,3
72367,1,2,21,446,1.0576,-0.01378,-0.093505,3,-63,3.749,920.25,3
27521,1,1,47,51.7,1.3625,-0.14009,-0.025087,1,-55.5,5.7463,920.25,3
18616,2,1,44,87.25,1.0459,0.02067,-0.15052,3,-55,5.3352,920.25,3
45308,2,1,53,146.08,1.128,0.043636,-0.082102,4,-62,5.0146,920.25,3
32716,2,1,49,114.48,1.1632,0.02067,-0.082102,4,-64.5,6.205,920.25,3
28960,1,1,47,222.25,1.2452,-0.094162,-0.03649,1,-57,5.7954,920.25,3
34901,2,1,50,125.15,0.34238,0.96229,-0.19613,2,-55,5.1956,920.25,2
20128,2,1,44,328.23,1.1045,-0.0022966,-0.10491,1,-62.5,0.9388,920.25,3
38738,1,1,50,444.33,1.0811,0.10105,-0.12771,1,-60,2.7397,920.25,3
10932,1,1,39,258.25,0.96383,0.02067,0.031928,1,-64,5.8184,920.25,3
49977,2,1,56,44.5,0.98728,0.12402,-0.13912,3,-50,1.3254,920.25,3
17005,2,1,43,490.75,0.94038,-0.01378,-0.025087,4,-63,2.3547,920.25,3
65720,2,2,15,613.58,0.2603,0.33072,-1.0172,2,-49,3.0986,920.25,3
46543,1,1,53,219.13,1.1514,-0.01378,-0.11631,3,-55.5,0.064427,920.25,3
13495,1,1,42,168.75,0.014071,1.0197,0.11175,4,-56.5,0.073631,920.25,1
42351,2,1,51,443.45,1.0342,0.078086,-0.12771,3,-55.5,0.25004,920.25,3
2195,2,1,6,174.5,1.2452,-0.26641,-0.025087,3,-50.5,2.4283,920.25,3
13715,1,1,42,239.5,0.9052,-0.036746,-0.11631,3,-47,5.4303,920.25,3
16629,1,1,43,376.6,1.257,-0.19751,0.13456,4,-64,0.27151,920.25,3
56401,1,2,2,1650.3,0.60034,0.0091865,-0.91452,3,-63,2.1752,920.25,3
19304,2,1,44,159.8,-0.0093803,1.0197,0.043332,1,-57.5,1.4113,920.25,1
31894,1,1,49,5.2,0.025796,1.1345,-0.093505,2,-50.5,5.777,920.25,4
30764,1,1,48,160.03,0.65897,0.83597,0.11175,2,-56,0.46326,920.25,2
72198,1,2,21,156.25,1.339,-0.18603,0.077541,3,-61,3.6693,920.25,3
2985,2,1,8,178.75,0.70587,0.80152,0.22578,2,-58.5,5.6052,920.25,2
74157,2,2,24,492.5,0.10787,0.38813,-1.04,3,-63,6.254,920.25,3
33228,2,1,49,141.08,1.1163,0.055119,-0.093505,1,-57.5,0.44946,920.25,3
19936,1,1,44,291.63,0.64724,0.87042,0.14596,2,-57.5,0.35435,920.25,2
74064,2,2,24,456,0.31893,0.22737,-0.93733,3,-65.5,6.1957,920.25,3
32219,2,1,49,80.225,0.37756,0.96229,-0.047893,4,-56,1.1183,920.25,1
58182,1,2,3,496.75,0.35411,0.21588,-0.98294,3,-57.5,4.2629,920.25,3
52525,2,2,1,18,0.22513,0.16995,-0.99434,3,-62,0.041417,920.25,3
15046,1,1,42,655.85,0.91693,-0.071196,-0.10491,4,-63,0.43412,920.25,3
17612,2,1,43,622.38,1.1749,-0.11713,0.10035,4,-63,5.5699,920.25,3
31821,1,1,48,237.98,0.45964,0.81301,0.40823,1,-60,1.4573,920.25,4
71802,2,2,20,843,0.77622,0.75559,0.088944,1,-58,2.3209,920.25,2
14897,2,1,42,621.75,0.92865,-0.071196,-0.082102,3,-48.5,5.372,920.25,3
60182,1,2,6,470.7,0.1665,0.89339,-0.54963,3,-59.5,0.3973,920.25,1
43838,1,1,52,290.4,1.3273,-0.048229,-0.03649,4,-63,0.010738,920.25,3
23428,1,1,45,295.63,1.2921,-0.094162,-0.047893,1,-55.5,5.6619,920.25,3
59052,1,2,4,282,0.31893,0.42258,-0.96014,3,-62.5,5.145,920.25,3
60439,2,2,9,6.75,0.87003,0.51445,-0.24174,2,-59,0.77159,920.25,3
19840,1,1,44,264.93,0.64724,0.85894,0.12315,1,-68,1.7211,920.25,2
34740,2,1,50,10.95,0.41273,0.95081,-0.082102,2,-57,5.6788,920.25,2
54961,2,2,2,489.6,0.1665,0.2733,-1.0742,3,-58.5,1.2625,920.25,3
69829,2,2,18,57.75,0.31893,0.97377,0.0091224,2,-58,1.2241,920.25,1
44156,1,1,53,63,0.025796,1.169,-0.15052,2,-49,0.061359,920.25,4
54281,1,2,2,394.83,0.48309,0.16995,-0.91452,2,-47.5,3.9163,920.25,3
52675,2,2,1,66.75,0.17823,0.2044,-1.04,2,-50,2.732,920.25,3
58465,1,2,3,550.5,0.38928,0.22737,-1.0057,3,-58.5,0.72097,920.25,3
9455,1,1,37,484.5,1.3156,-0.16306,0.054735,3,-48.5,5.6834,920.25,3
44097,1,1,53,41.325,0.43619,0.93932,-0.059296,2,-55.5,5.0667,920.25,2
61706,1,2,14,50.075,0.1665,0.42258,-1.0172,2,-51.5,3.8626,920.25,3
9947,1,1,38,174.75,0.99901,-0.025263,-0.025087,4,-61.5,6.0163,920.25,3
61085,1,2,13,86.45,0.52999,0.14698,-0.92593,3,-60,4.5789,920.25,3
16538,2,1,43,361.75,1.0459,-0.071196,0.043332,3,-48,5.4809,920.25,3
40299,2,1,51,303.75,0.37756,0.93932,-0.0022806,1,-59,1.0677,920.25,1
70404,1,2,19,109.25,1.2804,-0.17454,0.077541,3,-63.5,1.4251,920.25,3
62346,2,2,14,232.5,0.30721,0.35368,-0.98294,2,-49.5,4.0497,920.25,3
59919,2,2,5,542.5,0.62379,0.51445,0.12315,1,-63.5,4.5467,920.25,4
34303,2,1,49,233.63,1.128,0.10105,-0.11631,3,-56,0.22856,920.25,3
69475,2,2,17,846.25,0.34238,0.29627,-0.99434,2,-48.5,2.7796,920.25,3
73566,2,2,22,470,1.1045,-0.059712,-0.047893,3,-61.5,3.7935,920.25,3
11355,1,1,39,540.75,0.91693,0.0091865,-0.070699,4,-66.5,3.7429,920.25,3
38335,2,1,50,402.15,0.30721,0.97377,-0.070699,1,-57,1.9466,920.25,1
15089,2,1,42,665.5,1.0342,-0.059712,-0.047893,3,-48.5,5.3981,920.25,3
70476,1,2,19,155.5,1.1045,-0.071196,-0.013684,3,-62.5,4.2415,920.25,3
41328,2,1,51,396.73,1.2452,-0.036746,-0.047893,4,-62.5,1.2318,920.25,3
42000,2,1,51,428.65,1.1163,0.032153,-0.093505,3,-56,0.17794,920.25,3
63250,1,2,14,897.58,0.29548,0.28478,-1.04,2,-49,2.979,920.25,3
14709,1,1,42,556,-0.25561,0.93932,0.15736,1,-56.5,5.0637,920.25,1
59670,2,2,5,401.25,0.41273,0.36516,-0.91452,3,-65,1.9359,920.25,3
74762,1,2,26,265,0.33066,0.96229,-0.17333,1,-65,4.6204,920.25,4
4924,2,1,17,113.25,1.1514,-0.12861,0.18017,1,-59,6.0408,920.25,3
20423,2,1,44,366.75,1.3859,-0.10565,0.0091224,1,-62,0.97101,920.25,3
71036,2,2,20,180.5,1.2804,-0.12861,-0.093505,3,-68.5,0.31907,920.25,3
65941,2,2,15,655.1,0.52999,0.2044,-0.92593,2,-49,2.9821,920.25,3
24732,2,1,46,119.25,1.1632,-0.048229,-0.093505,3,-58.5,4.4424,920.25,3
37789,1,1,50,378.6,1.1163,0.18143,-0.013684,4,-59,0.12272,920.25,3
41274,1,1,51,394.48,1.2101,-0.025263,-0.03649,1,-56.5,3.8135,920.25,3
23930,1,1,45,324.75,1.257,-0.082679,-0.059296,1,-56,5.6236,920.25,3
25079,1,1,46,165.73,0.1665,1.0312,-0.059296,1,-60.5,5.2232,920.25,1
260,1,1,1,156,0.84658,0.65224,-0.10491,2,-56.5,0.021476,920.25,2
48838,1,1,54,119.5,1.1045,0.14698,-0.13912,4,-66.5,6.1543,920.25,3
28690,1,1,47,173.5,0.67069,0.82449,0.054735,1,-66,5.3597,920.25,2
57227,1,2,3,343.5,0.41273,0.3422,-0.96014,3,-58,0.90812,920.25,3
9492,1,1,37,491.85,0.9052,0.0091865,-0.093505,3,-48.5,5.6957,920.25,3
1168,1,1,4,85,1.128,-0.16306,-0.11631,1,-58,5.8859,920.25,3
52956,2,2,1,293.25,0.060972,0.19292,-1.1084,2,-50.5,2.8302,920.25,3
67013,1,2,16,127.08,0.27203,0.33072,-1.0057,2,-49,0.033748,920.25,3
52852,1,2,1,251.75,-0.0093803,0.21588,-1.1084,2,-51,2.7412,920.25,3
57263,2,2,3,348.6,0.33066,0.3422,-0.99434,2,-47.5,3.5941,920.25,3
74150,2,2,24,490,0.35411,0.26182,-0.92593,2,-52,1.4527,920.25,3
25542,1,1,46,238.5,0.75277,0.75559,0.14596,2,-56.5,0.19328,920.25,2
53831,2,2,2,44.5,0.1196,0.2733,-1.0514,2,-52.5,1.8669,920.25,3
21082,1,1,45,15.375,0.17823,1.0312,0.031928,4,-56,0.88511,920.25,1
67187,1,2,16,448.5,0.18995,0.28478,-1.0628,3,-64,5.9979,920.25,3
74309,2,2,24,538.75,0.1665,0.36516,-1.0286,2,-52,1.468,920.25,3
10755,1,1,39,100,0.40101,0.84746,0.11175,4,-57,0.19328,920.25,1
67095,2,2,16,144,0.27203,0.35368,-0.92593,2,-49.5,6.1329,920.25,3
5058,1,1,18,12.25,0.74105,0.10105,0.79593,4,-57,5.5868,920.25,3
70425,2,2,19,121.5,1.0928,-0.094162,-0.025087,3,-63.5,4.493,920.25,3
31933,2,1,49,21.825,0.23685,1.0082,-0.082102,2,-55,4.6786,920.25,2
46433,1,1,53,214.05,0.77622,0.74411,0.031928,4,-57,4.4025,920.25,1
38594,2,1,50,432.1,1.257,-0.01378,-0.013684,3,-58.5,0.40344,920.25,3
39380,2,1,51,9.5,0.38928,0.96229,-0.070699,2,-56,1.3668,920.25,2
44676,2,1,53,109.48,1.1866,-0.0022966,-0.047893,4,-63,2.0724,920.25,3
32297,2,1,49,87.725,0.36583,0.97377,-0.025087,1,-58.5,5.4533,920.25,1
27790,1,1,47,78.4,1.0811,-0.0022966,-0.13912,1,-55.5,5.7325,920.25,3
54034,2,2,2,355.83,0.22513,0.37665,-1.0172,2,-49.5,3.746,920.25,3
59955,1,2,6,20.2,0.44791,0.92784,0.088944,2,-65,1.3468,920.25,1
65670,1,2,15,606.25,0.30721,0.33072,-0.99434,2,-49,6.1559,920.25,3
2482,1,1,6,259.85,0.9521,-0.14009,-0.17333,3,-48.5,2.4989,920.25,3
42063,1,1,51,431.3,1.0928,0.043636,-0.11631,3,-56,0.22243,920.25,3
24146,1,1,45,339.33,1.0225,0.043636,-0.16192,1,-55.5,5.5975,920.25,3
15117,1,1,42,670.35,0.9052,-0.036746,-0.10491,3,-48.5,5.5131,920.25,3
43014,2,1,52,202.65,0.88175,0.46851,0.088944,1,-65.5,5.6328,920.25,1
73191,1,2,22,292.5,0.41273,1.0427,0.16876,2,-58.5,0.90505,920.25,4
53236,2,2,1,383.25,0.41273,0.032153,-1.0172,2,-50.5,3.0634,920.25,3
33554,1,1,49,163.2,0.37756,0.96229,-0.03649,4,-55.5,1.5585,920.25,1
74437,1,2,24,575,0.1196,0.37665,-1.04,3,-63,6.1927,920.25,3
46787,2,1,53,229.35,1.1163,0.02067,-0.11631,1,-57.5,0.32981,920.25,3
39856,2,1,51,206.33,0.44791,0.93932,-0.059296,1,-61,5.6082,920.25,1
52659,1,2,1,62,0.1196,0.23885,-1.097,2,-50.5,2.6308,920.25,3
43402,2,1,52,234.33,0.43619,0.93932,-0.0022806,4,-55.5,5.5085,920.25,1
44377,1,1,53,87.5,0.48309,0.91636,-0.03649,1,-58,4.8612,920.25,1
7807,1,1,36,125.35,0.36583,0.95081,0.15736,4,-56,0.60132,920.25,1
66740,2,2,16,68.5,0.2134,0.35368,-1.0286,3,-64,5.9089,920.25,3
23223,1,1,45,283.57,1.0459,0.055119,-0.15052,1,-56.5,5.7141,920.25,3
49410,2,1,55,22.1,1.3273,-0.01378,0.043332,4,-65.5,0.3206,920.25,3
12646,1,1,41,368.5,1.1983,-0.094162,0.15736,3,-49.5,5.7033,920.25,3
56303,1,2,2,1623.5,0.63552,0.02067,-0.91452,3,-64,2.4406,920.25,3
73816,1,2,23,132.95,0.29548,0.96229,-0.059296,2,-58.5,1.3085,920.25,1
75001,2,2,27,150.5,0.91693,0.68669,-0.013684,1,-61,6.208,920.25,2
58025,2,2,3,467.5,0.33066,0.26182,-0.99434,2,-48.5,0.18561,920.25,3
10316,1,1,38,396.25,1.0576,-0.059712,-0.013684,3,-49.5,5.6865,920.25,3
58735,2,2,4,60.5,0.28376,0.28478,-0.99434,3,-58.5,5.2048,920.25,3
12256,1,1,40,472.1,1.1514,-0.094162,-0.013684,4,-65,6.274,920.25,3
23162,1,1,45,281,1.3156,-0.10565,-0.03649,1,-56,5.6665,920.25,3
19750,1,1,44,232.88,0.45964,0.93932,0.031928,2,-58,5.9933,920.25,2
38929,2,1,50,461,1.0811,0.10105,-0.13912,1,-60.5,5.8215,920.25,3
43401,2,1,52,234.28,0.43619,0.93932,-0.0022806,4,-55.5,5.5085,920.25,1
23315,1,1,45,288.07,0.96383,0.055119,-0.17333,1,-55.5,5.6834,920.25,3
10265,2,1,38,379.25,0.41273,0.88191,0.11175,2,-48,6.1973,920.25,4
10018,1,1,38,206.25,0.24858,0.97377,0.12315,1,-56,5.2385,920.25,1
26190,2,1,46,299.57,1.3977,-0.16306,-0.025087,3,-53.5,4.5406,920.25,3
68084,1,2,17,99,0.30721,0.46851,-0.96014,2,-51.5,6.0746,920.25,3
12255,1,1,40,472,0.96383,-0.025263,-0.093505,3,-49,5.5699,920.25,3
19838,2,1,44,264.8,0.64724,0.85894,0.12315,1,-68,1.7211,920.25,2
29736,1,1,48,6.5,1.0811,-0.0022966,-0.13912,3,-56.5,4.7461,920.25,3
35479,1,1,50,263.75,0.61207,0.87042,0.088944,4,-57,0.25464,920.25,1
7134,1,1,28,294.57,0.30721,0.0091865,0.96698,4,-58.5,0.51082,920.25,3
16104,1,1,43,286.5,1.1514,-0.12861,0.054735,3,-48,5.4073,920.25,3
39874,2,1,51,208.85,0.44791,0.93932,-0.059296,4,-57,0.42491,920.25,1
582,2,1,2,241.5,0.15478,1.0886,-0.20754,2,-49.5,0.092039,920.25,4
16550,1,1,43,364.25,1.1397,-0.12861,0.10035,3,-48,5.5392,920.25,3
20725,1,1,44,408.8,1.0107,0.055119,-0.13912,1,-62,0.91579,920.25,3
52790,2,2,1,230,0.0023451,0.2733,-1.0856,2,-52.5,2.4666,920.25,3
71031,1,2,20,178,1.3625,-0.16306,-0.059296,2,-53.5,2.2473,920.25,3
12996,2,1,41,495,0.34238,0.96229,0.15736,1,-59,5.1833,920.25,1
2705,1,1,6,298.75,0.57689,0.73263,-0.12771,4,-56.5,0.30219,920.25,4
62536,1,2,14,281.25,0.61207,0.85894,0.031928,1,-65.5,1.2195,920.25,1
41941,1,1,51,426.18,1.1983,-0.01378,-0.070699,1,-57,0.67495,920.25,3
63936,2,2,14,1026.4,0.30721,0.31923,-1.0057,2,-49,6.1375,920.25,3
39466,2,1,51,79.825,0.56517,0.88191,-0.10491,2,-56,1.106,920.25,2
